id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
6780285,Beautiful Williamsburg townhouse on a park.,230856,Gabrielle & Malcolm,Brooklyn,Williamsburg,Entire home/apt,295,30,6,2018-04-19,1,0
6885369,Beautiful Apt in Lefferts Gardens,1442860,Godfrey,Brooklyn,Flatbush,Private room,40,2,32,2019-07-01,1,82
14041141,"Epic West Village, NYC rental",20971070,Melani,Manhattan,Chelsea,Entire home/apt,175,27,2,2018-10-26,1,310
20899010,"Historic (& happening!) Prospect Heights, BK",5761096,Leah,Brooklyn,Prospect Heights,Private room,80,1,1,2017-09-13,1,0
2206311,Modern Studio in Midtown East,5149997,Christine,Manhattan,Midtown,Entire home/apt,140,3,0,,1,0
24493582,Charming beautiful studio perfect location!!,26584499,Ofir,Manhattan,Upper West Side,Entire home/apt,135,30,0,,8,290
4233705,looking for someone to stay 12days,11243583,Joseph,Manhattan,Upper West Side,Entire home/apt,260,1,0,,1,0
21080763,"CHIC 2 BEDROOM W/ LUXURY FINISHES, WASHER DRYER",61391963,Corporate Housing,Manhattan,Kips Bay,Entire home/apt,185,30,4,2019-03-31,91,201
32237469,Sonder | Stock Exchange | Welcoming 1BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,Entire home/apt,228,2,2,2019-05-18,327,350
28895817,SUNNY ROOM WITH SKYLIGHT + 2 BEDS,23188519,Emily Wes,Brooklyn,Bedford-Stuyvesant,Private room,67,30,31,2019-06-16,6,333
25950590,Cozy room close to Central Park and Columbia,2732777,Beatriz,Manhattan,Upper West Side,Private room,115,3,19,2019-06-17,1,189
30091592,Best view near Times Square,16768238,Julio Adrian,Manhattan,Hell's Kitchen,Private room,215,2,0,,1,0
6044964,Beach Lovers Dream!,31204745,Monika,Queens,Arverne,Entire home/apt,89,2,150,2019-06-11,1,268
13333542,Beautifully Designed Island Style Garden Suite,75478154,Malene,Brooklyn,Bedford-Stuyvesant,Entire home/apt,229,4,92,2019-06-15,1,236
22249013,Cozy Bushwick Loft Apartment,17672907,Imani,Brooklyn,Bushwick,Private room,30,3,7,2018-03-12,1,0
27802387,Living Room sofa Bed in Chelsea,12750945,Luis,Manhattan,Chelsea,Shared room,85,2,22,2019-06-23,4,365
29233568,Cozy apartment in PERFECT location!,41083526,Brenda,Queens,Sunnyside,Shared room,50,1,9,2019-03-23,2,0
22051863,Sunny Apt.  near Columbus circle,44869463,Nardys,Manhattan,Hell's Kitchen,Entire home/apt,160,3,0,,1,0
19381437,Big furnitured room in UWS for August!,22655081,Alan,Manhattan,Upper West Side,Private room,45,5,0,,1,0
25213872,Cheap & Comfy Huge Private Room!,5789204,Honglip,Brooklyn,Bensonhurst,Private room,37,4,52,2019-06-30,1,70
7498508,The big little room,24377694,Kori,Brooklyn,Crown Heights,Private room,105,1,1,2017-09-24,3,0
13746257,Prime North Williamsburg Luxury Studio,80501262,Raquel,Brooklyn,Williamsburg,Entire home/apt,175,2,9,2018-12-30,1,0
26774653,"Bright, Spacious Apartment in Brooklyn",27742407,Filippo,Brooklyn,Clinton Hill,Entire home/apt,120,5,2,2018-09-14,1,13
27236170,Staten Island Home with a View,205132904,Farah,Staten Island,Tompkinsville,Private room,135,2,65,2019-06-24,2,293
16722564,12 East 86th St full furnished,53179388,Raymond,Manhattan,Upper East Side,Entire home/apt,200,30,0,,10,164
9334840,Cozy warm one bedroom,2716515,Nick,Queens,Astoria,Entire home/apt,70,1,1,2015-11-11,1,0
20914425,"Room in duplex  w/sep. bathroom, close to J train",878546,Semih,Brooklyn,Bedford-Stuyvesant,Private room,100,2,8,2019-02-11,1,0
34336740,Upper West 1 Bedroom / 1 Bath. Lincoln Center,131647128,Emily,Manhattan,Upper West Side,Entire home/apt,190,30,2,2019-06-15,25,322
29828614,New York home ferry ride from Manhattan.,224370048,Pariis,Staten Island,Tompkinsville,Private room,90,1,6,2019-06-23,1,262
30425770,Queens Corner Lot,128580688,-TheQueensCornerLot,Queens,Queens Village,Entire home/apt,150,1,51,2019-07-07,1,248
12519645,Upper East Side Room,56623911,Christa,Manhattan,East Harlem,Private room,45,1,3,2016-05-20,1,0
18675599,Large Place bushwick with furniture,129812563,Roodmy,Brooklyn,Bushwick,Private room,45,7,11,2017-09-20,1,0
21526187,West Village Bedroom in duplex apartment,118137788,Chris,Manhattan,West Village,Private room,100,2,3,2017-11-16,1,0
30717487,Charming Williamsburg Loft - 1 BR,63260432,Thibaut,Brooklyn,Greenpoint,Entire home/apt,179,1,15,2019-05-19,1,0
6357128,Private Bedroom in Beautiful Apartment,20156894,Florence And Peter,Manhattan,Harlem,Private room,95,4,20,2018-10-02,1,69
9597258,Cozy and affordable room.,32379616,Fabiola,Bronx,Williamsbridge,Private room,34,5,17,2019-05-31,2,313
35467129,Gorgeous  Luxury Studio!!,205510323,Dave,Manhattan,Hell's Kitchen,Entire home/apt,220,3,0,,1,29
587698,Very close to Downtown Awesome Room,807642,Jeffrey,Brooklyn,Gravesend,Private room,72,1,61,2019-07-06,2,335
29943455,Cozy and Nice room in Queens! good subway access!,200239515,Shogo,Queens,Woodside,Private room,32,28,3,2019-06-01,15,0
20149318,Wonderful room for rent in the Bronx,19297877,Albena,Bronx,Bronxdale,Private room,35,1,21,2018-12-11,1,284
14809342,Soho/Nolita Apartment w/Rooftop Terrace,3599088,Chris,Manhattan,Nolita,Entire home/apt,120,19,5,2018-03-25,2,0
24378513,Sunny Spacious Private Bedroom in Brooklyn,714531,Gabriel,Brooklyn,Prospect-Lefferts Gardens,Private room,55,4,26,2019-06-24,1,73
18913450,Light Filled Private Room,27982346,Christopher,Manhattan,East Harlem,Private room,49,7,5,2017-12-29,1,0
9615209,Cozy Studio in Luxury Building LIC,49746656,Elva,Queens,Long Island City,Entire home/apt,85,5,1,2016-08-13,1,0
15958726,"Affordable 1 bedroom apt, in great neighborhood",103631576,Nayamkah,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,5,2017-05-24,1,0
31070935,Cozy room in duplex apartment - terrace with view,232112395,Alessandro,Brooklyn,Crown Heights,Private room,45,14,0,,1,30
2460611,1890s North Williamsburg Townhouse,4137875,Rachel,Brooklyn,Greenpoint,Private room,145,2,21,2019-04-22,1,64
34706620,Trendy open concept Williamsburg loft apartment,261768544,Kori,Brooklyn,Williamsburg,Entire home/apt,300,2,5,2019-07-01,1,57
13845597,1 Bedroom in williamsburg,81730337,Geoffray,Brooklyn,Williamsburg,Entire home/apt,150,7,0,,1,0
764753,Beautiful 3 bedroom apartment!!,3371859,Jenny & Jose,Brooklyn,Crown Heights,Entire home/apt,82,8,108,2019-06-16,2,238
4512329,Spacious Room in Sugar Hill,16685925,Douglas,Manhattan,Washington Heights,Private room,49,3,3,2016-07-14,2,0
15095408,One bedroom in luxury FiDi building,17423162,Rishab,Manhattan,Financial District,Private room,80,5,1,2017-01-01,1,0
17459791,Bedroom Upper West Side 10min walk to Central Park,12588825,Kyle,Manhattan,Upper West Side,Private room,175,4,3,2017-11-05,1,0
7255372,~Room for Guest in Stunning BK Apt~,37987441,Addie,Brooklyn,Bedford-Stuyvesant,Private room,32,3,7,2019-01-27,1,0
35195915,Chelsea HIGHLINE Prime Location,244131674,Alexis,Manhattan,Chelsea,Entire home/apt,300,2,3,2019-07-07,1,365
34717733,TheGreystone,239661123,Shantell,Queens,Queens Village,Entire home/apt,99,1,6,2019-07-07,1,15
4267133,Large private room in huge LES Apt,6793885,Nick,Manhattan,Lower East Side,Private room,70,1,2,2015-06-10,1,0
36115461,Private Room In a Beautiful Tree-Lined Brownstone,24633205,Joshua,Brooklyn,Bedford-Stuyvesant,Private room,50,1,1,2019-06-30,1,27
27338033,"Private Bushwick Room -- Close to J, M, L Trains",206009618,Keilyn,Brooklyn,Bushwick,Private room,56,2,32,2019-06-25,1,158
959478,"Chic, Cozy LES 1BR. Weekly clean included!",4191076,Michelle,Manhattan,Chinatown,Entire home/apt,87,59,51,2019-02-01,1,0
35768121,Murray Hill studio,2448443,Alex,Manhattan,Murray Hill,Entire home/apt,140,3,1,2019-06-17,1,3
30512146,Artsy Upper East Side Apartment,21296382,Victor,Manhattan,Upper East Side,Entire home/apt,200,3,3,2019-04-22,1,188
17624418,LOFTY 3 BEDROOMS DUPLEX 30MN FROM DOWNTOWN,6978404,Samira,Brooklyn,Bay Ridge,Entire home/apt,165,20,0,,1,46
35612199,Designer large studio in Brooklyn Heights,213432040,Naomi,Brooklyn,Brooklyn Heights,Entire home/apt,150,2,0,,1,74
20000820,Sunny and Spacious private bedroom,27527984,S,Brooklyn,Bushwick,Private room,66,1,2,2017-10-08,1,0
450577,1 bdrm brownstone-west 70's-1 block Central Park,2237267,Marjorie,Manhattan,Upper West Side,Entire home/apt,250,3,73,2019-06-07,1,284
21824124,Boutique Gowanus Queen Studio,159091490,Melissa,Brooklyn,Gowanus,Private room,139,1,82,2019-07-07,17,355
13802334,Bright chic room in Clinton hill,35775878,Lisa,Brooklyn,Clinton Hill,Private room,65,7,10,2017-12-10,1,0
32160889,Brand NewXL 1BR~Prime midtown~Laundry~Elev~Sleeps4,162280872,Izi,Manhattan,Hell's Kitchen,Entire home/apt,185,30,0,,13,298
25943635,Sunny room in great location,10304316,Engorako,Queens,Astoria,Private room,60,50,0,,1,21
1455804,One Bedroom Apt Near Central Park,4028305,Abigail,Manhattan,Morningside Heights,Entire home/apt,175,2,1,2017-10-28,1,0
20662567,Home with Private Terrace Off the Park,147796643,Cole,Manhattan,Upper West Side,Private room,150,2,5,2018-09-22,1,0
8372368,The Herkimer House  Room #2,27708645,Malik,Brooklyn,Bedford-Stuyvesant,Private room,65,3,3,2015-10-13,1,342
33113990,Adorable walk-up on the high line—with views!,2919299,Sean,Manhattan,Chelsea,Entire home/apt,175,4,3,2019-06-09,1,15
34962979,Cozy 1bedroom apt/Manhattan/East side,48950686,Lili,Manhattan,Upper East Side,Entire home/apt,150,2,3,2019-06-30,1,164
19317834,"Artsy, Cozy 1 bedroom in Flatbush",5416971,Nia,Brooklyn,East Flatbush,Entire home/apt,97,2,21,2019-05-13,1,0
35380023,Owners duplex in beautiful bed stuy brownstone,413316,Laurel,Brooklyn,Bedford-Stuyvesant,Entire home/apt,225,4,0,,1,9
19914250,Close to all NYC! Perfect place and cozy room,48972208,Yuri,Manhattan,Hell's Kitchen,Private room,89,1,0,,1,0
31275494,Comfortable affordable room #5,20120009,Jannices,Brooklyn,Bushwick,Private room,38,1,5,2019-06-19,6,7
14030375,Vanilla Tea - Cozy Studio Hideaway in Bed Stuy #5,57186170,Deirdre,Brooklyn,Bedford-Stuyvesant,Private room,68,2,134,2019-06-20,3,245
34742586,Bright and Sunny Urban Getaway,85521952,Gregory,Manhattan,Inwood,Entire home/apt,200,2,1,2019-06-30,1,234
21814906,Live/Work East Williamsburg Loft,6502688,Bryan,Brooklyn,Williamsburg,Entire home/apt,165,2,7,2019-02-03,1,0
32517517,Bright room with Open Terrace 3min walk to Subway,204704622,Momoyo,Queens,Elmhurst,Private room,33,29,1,2019-06-16,7,34
31859909,Beautiful room with view in newly-renovated house,5704932,Victor,Bronx,Fordham,Private room,65,2,7,2019-04-01,3,110
27201257,Charming & convenient to subways/1 bed. brownstone,200391647,Lauren,Brooklyn,Park Slope,Entire home/apt,150,7,1,2018-10-18,1,0
10340695,Spacious bedroom near Prospect Park,53217509,Kelsey,Brooklyn,Crown Heights,Private room,45,4,0,,1,0
22480570,Sunny & Cozy Double Bedroom with private entrance,22382224,Meryem,Brooklyn,Windsor Terrace,Private room,85,1,6,2018-04-02,1,0
7497287,Massive Bedroom by Prospect Park,241593,Thomas,Brooklyn,Flatbush,Private room,70,1,0,,2,0
33776235,Bright apt in the heart of the lower east side!,42615337,Capucine,Manhattan,East Village,Entire home/apt,180,5,1,2019-07-03,1,32
27817851,A Nice Room For Unique people,152246149,Catherine,Bronx,Throgs Neck,Private room,140,1,31,2019-06-09,5,365
10360144,Live like a local in NYC! Next to Ditmars subway,16823940,Missy,Queens,Ditmars Steinway,Private room,40,2,8,2019-06-08,2,229
31369708,ROOMS ONE and TWO,226036723,Ravita,Brooklyn,Cypress Hills,Private room,250,3,0,,3,364
20582991,Private studio in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,Entire home/apt,130,30,1,2017-11-01,50,364
10035920,Best of Brooklyn,51502398,Sasha,Brooklyn,Crown Heights,Entire home/apt,175,3,77,2019-06-17,1,54
16916926,Clean! Quiet! Near train and park!,420620,Kathryn,Brooklyn,Windsor Terrace,Private room,70,3,0,,1,0
17111449,Spacious Private Room - Harlem/Manhattan Townhouse,4538012,Karen,Manhattan,East Harlem,Private room,70,2,89,2019-06-29,4,249
8777936,Prime carroll gardens chrming 2 bed rooms,40611169,Sol,Brooklyn,Carroll Gardens,Entire home/apt,250,1,50,2019-06-25,5,365
32308362,Quiet Mid-Century Modern Apartment,99763169,Ashlin,Manhattan,Upper West Side,Entire home/apt,220,2,3,2019-04-29,1,36
3638852,Sunny room in Alphabet City,3563235,Andra,Manhattan,East Village,Private room,85,5,12,2016-09-06,1,0
4129487,Peaceful Retreat in a Brownstone,18397763,Seun And Marie,Brooklyn,Bedford-Stuyvesant,Private room,67,2,21,2019-05-21,7,58
26706133,Beautiful brand new apartment !,199147185,Lou,Brooklyn,Sunset Park,Entire home/apt,330,1,1,2018-11-04,5,174
4605455,Private Room & Bathroom in LES,23575977,Carly,Manhattan,Two Bridges,Private room,120,5,0,,1,0
12869679,Loft Apartment in Williamsburg,1233402,Evan,Brooklyn,Williamsburg,Entire home/apt,180,3,3,2016-06-06,1,0
31692860,2 bedroom apartment with a big outdoor terrace,169148493,Alan,Queens,Ditmars Steinway,Private room,90,4,0,,1,0
31042197,Sunny Boutique Condo on Picturesque Harlem Street,231863607,Jerry And Kate,Manhattan,East Harlem,Entire home/apt,250,2,10,2019-04-07,1,0
25135772,Comfy one bedroom with backyard,189971299,Karen,Manhattan,Upper West Side,Entire home/apt,225,3,23,2019-06-30,1,283
12422277,Spacious Studio w/ Patio- Ft Greene,43924728,Shawn,Brooklyn,Fort Greene,Entire home/apt,169,2,136,2019-06-16,1,251
7074961,"Spacious bright 2-bed duplex in Bed-Stuy, Brooklyn",37095710,Mary,Brooklyn,Clinton Hill,Entire home/apt,170,7,3,2016-09-09,1,0
27215478,LUXURY STUDIO ON WEST 56TH ST-POOL/GYM/CLUB HOUSE,200380610,Pranjal,Manhattan,Midtown,Entire home/apt,225,30,0,,65,249
16497297,Glass factory loft,5379884,Jacob,Brooklyn,Greenpoint,Private room,60,7,5,2019-05-31,1,0
13923165,Cozy Private Bedroom in Uptown Manhattan,69376422,Abbey,Manhattan,Washington Heights,Private room,40,2,1,2016-07-26,1,0
19913783,Micheal's Apartment in Harlem,31856573,Micheal,Manhattan,Harlem,Private room,80,6,0,,1,364
14089282,"Comfy room in brownstone, Ridgewood",57517386,Ruthy,Queens,Ridgewood,Private room,100,1,0,,1,0
20384987,Cozy Apartment in Time Square with Amazing view,19045109,J,Manhattan,Theater District,Private room,136,3,0,,1,0
16135399,Nice Room in the Upper West Side. Great Location.,105258361,Elena,Manhattan,Upper West Side,Private room,100,3,38,2019-04-03,1,14
31430577,Upper East Side One Bedroom,79520100,Bee,Manhattan,East Harlem,Private room,50,2,29,2019-06-08,1,0
30246807,Stay into heart of Brooklyn close  Prospect Park B,227134858,Hitalo,Brooklyn,Prospect-Lefferts Gardens,Private room,74,1,20,2019-06-23,5,125
5418807,Home away From Home in Queens!,27614204,Stella,Queens,Bayswater,Private room,60,2,81,2019-06-16,1,312
19714056,"Bright, spacious bedroom in comfy Brooklyn home",3013202,Chelsea,Brooklyn,Bushwick,Private room,70,4,1,2017-08-21,1,55
14349588,DUMBO Brooklyn Authentic Loft,32207621,Cynthia,Brooklyn,DUMBO,Private room,125,12,24,2018-10-28,1,0
21472882,Cozy Room in the Heart of Williamsburg,14278133,Sharif,Brooklyn,Williamsburg,Private room,60,2,7,2018-10-15,3,0
9973134,Location Location!! 1 bed apt,7614268,Ronnie,Manhattan,West Village,Entire home/apt,139,7,0,,1,0
29612355,Rare gem nestled in the heart of Bushwick,6814283,Marc,Brooklyn,Bushwick,Entire home/apt,140,3,3,2019-04-28,1,0
193853,Quiet Chelsea Studio w/Charm,48599,Anastasia,Manhattan,Chelsea,Entire home/apt,149,6,23,2018-05-21,2,0
25999678,Light & Airy home 1 minute to subway,7772526,Ting Yi,Brooklyn,Bushwick,Entire home/apt,140,3,15,2019-06-12,2,240
30158174,SWEET + SUNNY WILLIAMSBURG SANCTUARY,4085985,Kimberly,Brooklyn,Williamsburg,Entire home/apt,200,3,0,,1,28
27752788,Bright and Spacious Apt in the Heart of Manhattan,22072708,Mk,Manhattan,Midtown,Entire home/apt,199,3,14,2019-06-17,1,3
21751275,Modern West Soho Apartment,27551651,Rachel,Manhattan,SoHo,Entire home/apt,225,2,9,2019-04-30,1,6
17045488,Huge Room in Home with Backyard Near Metro,23878336,Armando,Bronx,Fordham,Private room,79,3,98,2019-06-24,10,68
22953136,Private Specious Sunny Brooklyn Loft,4383475,Keiichiro,Brooklyn,Williamsburg,Entire home/apt,125,3,0,,1,0
9926520,BK/NYC Apt near Prospect Prk,432318,Taylor,Brooklyn,Kensington,Entire home/apt,85,7,3,2019-01-02,1,0
18716602,Charming 2brs w/ private garden in Carroll Gardens,62734,Kremer,Brooklyn,Gowanus,Entire home/apt,120,30,2,2018-11-01,2,342
27783586,Williamsburg nest with private bathroom,20448671,Kandi,Brooklyn,Williamsburg,Private room,65,2,22,2019-06-29,3,173
21982758,Cozy 1 Bedroom in the Heart of Clinton Hill,10763283,Heather,Brooklyn,Clinton Hill,Entire home/apt,110,3,15,2019-06-04,1,3
15060262,Amazing Brooklyn Townhouse Studio,34126778,Kwame,Brooklyn,Bedford-Stuyvesant,Private room,99,7,0,,1,72
13554710,"Modern Oasis l -Prospect Park, Close to B/Q Subway",47050813,Jewel,Brooklyn,Flatbush,Private room,62,1,167,2019-06-27,2,48
33156988,Beautiful Bright TriBeCa Loft - steps from Soho!,61256671,Jason,Manhattan,Tribeca,Entire home/apt,290,2,4,2019-06-25,1,75
34416461,Amazing room at Brooklyn close to subway station,251311623,Vitória,Brooklyn,Bedford-Stuyvesant,Private room,58,2,3,2019-07-08,5,167
6262645,Queen-sized bed in sunny East Harlem private room,32304586,Amanda,Manhattan,East Harlem,Private room,90,3,95,2019-06-18,1,175
